symbol,timestamp,volatility,volume_spike,price_change,range_pct,volume_ratio_prev,rsi,macd_line,macd_signal,macd_hist,macd_cross,sma_20,sma_50,sma_cross_20_50,ema_20_50_cross,adx,adx_plus_di,adx_minus_di,atr_pct,day_of_week,month,ret_1d,ret_5d,ret_20d,prediction_id,price_at_scan,volume_ratio,max_change_5d,gap_pct,short_percent
BIYA,2026-07-27T22:45:03.735612-04:00,0.39185149751017856,2.3015266431777195,0.8400000163487025,0.43322980389183524,0.3799861573944059,57.599086214082874,-0.6329644990655234,-0.9585022188837253,0.3255377198182019,0.0,0.542330262720842,0.016959866029586435,-1.0,0.0,27.24007521533585,46.84435078753947,14.396066380312647,0.28869626795360376,1.0,7.0,0.5443644938596639,1.0841424712310168,1.2836880176145677,2,4.17,6.53,54.44,0.0,0.0
GENI,2026-07-27T22:45:03.735612-04:00,0.04222502435417999,1.7518987341772152,0.13707166728709974,0.04794525648286228,0.706045679208517,65.86443972751829,0.22752509237986107,0.1661852876309879,0.06133980474887318,0.0,0.12359553448056482,0.18656743726900737,1.0,0.0,24.519255340773096,35.73135221916445,15.392347480522622,0.058348748424384846,1.0,7.0,0.004126576325592435,0.09774437384147405,0.1514195607322053,3,7.27,2.15,0.55,0.0,0.0
GMEX,2026-07-27T22:45:03.735612-04:00,0.12824234050481495,0.8797460435960617,0.06849308357518114,0.19230774521122512,0.10268302635353245,27.111561702410043,-1.6867549938229682,-2.104785532591309,0.41803053876834073,0.0,-0.25276622639389335,-0.7776713733707131,-1.0,0.0,36.57930271264671,16.851968330312122,30.879371795852272,0.4491033491520936,1.0,7.0,-0.13333334216365134,0.06849308357518114,-0.6848484842646622,4,1.8,8.38,0.0,0.0,0.0
AMBP,2026-07-27T22:45:03.735612-04:00,0.03131477719832517,2.6243305516533475,0.1787330199585475,0.08349327055557111,0.7582295493235374,71.37201976716419,0.14531895366361613,0.11780967834299486,0.02750927532062128,0.0,0.11075578612991976,0.19804728293566143,1.0,0.0,34.78643526680868,41.38852202853956,10.735802274119163,0.04475742306085574,1.0,7.0,0.07644625493684076,0.11087419500687457,0.13507622330023672,5,4.84,3.53,7.64,0.0,0.0
KIDZ,2026-07-27T22:45:03.735612-04:00,0.21810739374828012,1.8433458459500185,0.03503177458966755,0.2723076810216053,0.3062254450433315,35.70023260001027,-0.5005310634580912,-0.6763952524894135,0.17586418903132228,0.0,0.027018449280958423,-0.653927671604059,-1.0,0.0,16.58948048434382,31.414468288709642,25.99375149158188,0.4531663526913558,1.0,7.0,0.07973418308566704,0.16071423819782793,-0.09470754748385801,6,0.6,6.54,7.97,0.0,0.0
ENTX,2026-07-27T22:45:03.735612-04:00,0.2119554751647067,1.1435808252403719,1.0123456672022502,0.28926382851531557,0.06383846282076036,71.62066901590867,0.3776066898803694,0.22141968695982625,0.15618700292054313,0.0,0.6342899975132634,1.0739232613033227,1.0,0.0,66.47968030175466,53.50446669515151,2.9643326611409364,0.10831369558440927,1.0,7.0,-0.1683673655574689,0.6632652688850622,0.9757575985266598,7,3.92,18.83,0.0,0.0,0.0
VTIX,2026-07-27T22:45:03.735612-04:00,0.09227042077390349,2.685139763156809,-0.4600638992237457,0.43786974276470175,0.2198680071177049,28.81287410989485,-0.3147280253329603,-0.23568954846607104,-0.07903847686688925,0.0,-0.39534882034731533,-0.4712470894240073,-1.0,0.0,12.545195640859248,13.467320077704542,29.814693869661102,0.25475363022615705,1.0,7.0,-0.22477063969343314,-0.2620086963438458,-0.3809523643175595,13,2.18,13.83,21.1,0.0,0.0
WLDS,2026-07-27T22:45:03.735612-04:00,0.1819013986298576,1.9947794116710342,1.5533332824707031,0.4801566017919117,0.7650409920165727,75.19053673631797,0.23482746750714734,-0.0607773636260208,0.29560483113316816,0.0,1.0541699602535006,0.760239685621199,-1.0,0.0,31.217852681075243,45.539801391744476,4.295272432055463,0.2001022214757947,1.0,7.0,0.20440246644764648,1.5364238065531635,1.3212121085139783,14,3.18,2.36,20.44,0.0,0.0
PFSA,2026-07-27T22:45:03.735612-04:00,0.1257751965468404,0.9259323732290812,-0.48258708120026794,0.2298077222863609,0.07338241380607778,24.143331528782767,-1.0877566196407833,-1.246823564846474,0.15906694520569076,0.0,-0.5108759702448341,-0.7945679082860309,-1.0,0.0,52.42123724666117,10.497031849182697,36.29451397798123,0.5300429936643035,1.0,7.0,-0.14754103486558956,-0.48000001907348633,-0.6382608828337296,16,1.22,11.92,44.26,0.0,0.0
UROY,2026-07-27T22:45:03.735612-04:00,0.0396268468658139,0.9837089434146308,0.018315000720495744,0.08633093957075222,0.39802944475204793,45.85959970239392,-0.040306043438962824,-0.07316274640880317,0.03285670296984035,0.0,-0.0024221847592089674,-0.08813593297814493,-1.0,0.0,19.674566909504335,17.811550709453627,26.96667992994632,0.06739907006456927,1.0,7.0,0.014598526172921567,-0.04302926032050847,-0.014184383971608927,17,2.74,2.58,13.14,0.0,0.0
TDOC,2026-07-27T22:45:03.735612-04:00,0.037064026941445,1.176530242665701,0.009708650967562793,0.06623930644236573,1.457771129394166,57.947409323666264,0.28706886735184156,0.40863824324819614,-0.12156937589635458,0.0,0.013700076115263693,0.1605415401018122,1.0,0.0,39.531009832016885,30.34795278010394,17.64889605226809,0.04826127989870457,1.0,7.0,0.05050502996314177,-0.036045353253831625,0.07710012757726648,19,8.91,0.65,5.05,0.0,0.0
ONDS,2026-07-27T22:45:03.735612-04:00,0.04941680219841581,0.5541317425928359,0.0679347813763218,0.0680661978576908,0.932411410896377,48.971454096938714,-0.27414241062353994,-0.4681393332487222,0.19399692262518226,0.0,0.04901405792173752,-0.12500416620067967,-1.0,0.0,18.70735690580039,21.419146362408025,22.77336538614423,0.08541716199626126,1.0,7.0,-0.01995016397965177,0.026109698444689133,-0.01995016397965177,26,8.02,0.59,0.0,0.0,0.0
RIG,2026-07-27T22:45:03.735612-04:00,0.026462640637990083,1.123057076481001,-0.06026368646133573,0.05210416111630737,0.7676323220225995,39.387209022378336,-0.10256569929762893,-0.14114620532425476,0.03858050602662583,0.0,-0.03087981365103587,-0.12609460517425408,-1.0,0.0,26.253087808429093,15.321653719733902,27.911662372687758,0.04261564685521785,1.0,7.0,-0.05492432332700836,-0.04770992574807931,-0.009920672839941802,27,5.28,1.48,1.33,0.0,0.0
AMC,2026-07-27T22:45:03.735612-04:00,0.08155336404138191,1.1640239237777315,0.36224491037164586,0.10861421481888403,1.2194350490508095,65.74048129810258,0.12912376593711095,0.06996430568577187,0.05915946025133907,0.0,0.28892111014930033,0.3364701602940694,1.0,0.0,23.507439810898113,37.22172635673189,13.88185343953088,0.08976037411129029,1.0,7.0,0.06374505435801137,0.21363637201056984,0.3152709920808623,28,2.51,0.93,9.56,0.0,0.0
